Gender,Age range,What is your current employment status?,How do you typically search for job opportunities?,Which online platforms do you use most frequently to search for jobs?,How do you prefer to submit your resume to potential employers?,Do you use social media platforms as part of your job search strategy?,How influential do you believe your social media presence is in the job application process?,How often do you attend networking events or job fairs to explore job opportunities?,How frequently do you rely on personal or professional connections to learn about job opportunities?,Have you ever received a job referral that led to a successful application?,"How important do you believe having a strong online presence (e.g., personal website, portfolio) is in the job application process?",Have you ever been contacted by a recruiter based on your online presence?,How often do you follow up with employers after submitting a job application?,What information in a job listing is most important to you when deciding to apply?
Male,25-31Years,Employed,Company websites and career pages,LinkedIn,Online application forms,Yes,6,Occasionally,Sometimes,Yes,8,Yes,Never,Location of the job
Female,32-38 Years,Self-Employed,Networking events and job fairs,Glassdoor,Online application forms,Yes,6,Frequently,Regularly,I don't remember,7,No,Sometimes,Salary and benefits information
Male,18-24 Years,Jobless & Actively looking for employment,"Social media platforms (e.g., LinkedIn, Twitter, Facebook groups)",LinkedIn,Postal mail,Yes,4,Occasionally,Frequently,Yes,9,Yes,Sometimes,Opportunities for career advancement
Female,25-31Years,Employed,Employee referrals,LinkedIn,Email attachments to hiring managers or HR departments,Yes,5,Rarely,Frequently,Yes,9,No,Sometimes,Required qualifications and skills
Prefer not to say,32-38 Years,Employed,"Social media platforms (e.g., LinkedIn, Twitter, Facebook groups)",CareerBuilder,In-person delivery,Yes,6,Rarely,Regularly,No,7,No,Rarely,Company reputation and culture
Female,18-24 Years,Jobless & Actively looking for employment,"Online job boards (e.g., Indeed, Monster, Glassdoor)",CareerBuilder,Online application forms,Yes,1,Rarely,Never,Yes,4,Yes,Often,Job title and description
Male,25-31Years,Employed,"Online job boards (e.g., Indeed, Monster, Glassdoor)",LinkedIn,Online application forms,Yes,5,Occasionally,Occasionally,No,10,Yes,Rarely,Required qualifications and skills
Female,25-31Years,Employed,Company websites and career pages,LinkedIn,Email attachments to hiring managers or HR departments,Yes,6,Occasionally,Occasionally,Yes,10,Yes,Rarely,Required qualifications and skills
Female,25-31Years,Jobless & Actively looking for employment,"Online job boards (e.g., Indeed, Monster, Glassdoor)",LinkedIn,Online application forms,Yes,10,Occasionally,Occasionally,Yes,10,Yes,Always,Company reputation and culture
Prefer not to say,18-24 Years,Jobless & Actively looking for employment,Company websites and career pages,Company-specific online portals,In-person delivery,No,5,Never,Sometimes,No,7,No,Never,Work schedule and flexibility
Female,25-31Years,Employed,Networking events and job fairs,LinkedIn,Email attachments to hiring managers or HR departments,Maybe,2,Occasionally,Sometimes,Yes,1,No,Often,Work schedule and flexibility
Female,18-24 Years,Jobless & Actively looking for employment,Company websites and career pages,LinkedIn,Online application forms,Yes,5,Sometimes,Frequently,Yes,6,Yes,Always,Required qualifications and skills
Female,18-24 Years,Jobless & Actively looking for employment,"Social media platforms (e.g., LinkedIn, Twitter, Facebook groups)",LinkedIn,Email attachments to hiring managers or HR departments,Yes,9,Frequently,Very frequently,Yes,9,Yes,Sometimes,Job title and description
Male,18-24 Years,Jobless & Actively looking for employment,"Social media platforms (e.g., LinkedIn, Twitter, Facebook groups)",LinkedIn,Email attachments to hiring managers or HR departments,Yes,5,Rarely,Frequently,Yes,8,Yes,Often,Salary and benefits information
Female,18-24 Years,Jobless & Actively looking for employment,"Social media platforms (e.g., LinkedIn, Twitter, Facebook groups)",LinkedIn,Email attachments to hiring managers or HR departments,Yes,9,Frequently,Very frequently,Yes,9,Yes,Sometimes,Job title and description
Female,18-24 Years,Jobless & Actively looking for employment,Freelance or gig economy platforms,LinkedIn,In-person delivery,Yes,3,Frequently,Sometimes,Yes,6,No,Often,Opportunities for career advancement
